record_id,sales_rep,region,deal_value,city,signup_date,revenue_display,account_tier
1,Rep_15,West,37.3,mumbai,2023-11-25,"2,551",SMB
2,Rep_5,Central,56.1,PUNE,14-12-2024,2125,SMB
3,Rep_7,Central,,chennai,20/10/2024,"2,722",SMB
4,Rep_20,Central,31.56,Madras,2024-05-04,1.6k,SMB
5,Rep_10,West,68.12,mumbai,21-11-2023,3012,SMB
6,Rep_8,Central,480.6,CHENNAI,27-07-2024,2047,Enterprise
7,Rep_18,North,54.56,chennai,27-09-2024,2589,Enterprise
8,Rep_9,Central,,New Delhi,Apr 19 2024,2339,SMB
9,Rep_1,East,,Chennai,Aug 04 2024,1683,SMB
10,Rep_5,East,43.76,Bengaluru,22-01-2024,2.2k,SMB
11,Rep_1,North,61.32,mumbai,2023-06-06,2.5k,Enterprise
12,Rep_5,South,,Madras,Sep 17 2023,2.9k,SMB
13,Rep_5,Central,79.62,Poona,2023-12-18,"2,671",SMB
14,Rep_13,Central,,delhi,21/09/2023,"$2,206",SMB
15,Rep_2,South,42.28,chennai,2023-12-28,0.7k,SMB
16,Rep_20,West,77.69,Delhi,Mar 23 2023,"1,818",SMB
17,Rep_1,North,43.91,pune,13-09-2024,"3,128",SMB
18,Rep_9,East,36.66,Bombay,11/06/2023,1087,SMB
19,Rep_18,West,50.77,Pune,28/04/2023,"1,928",SMB
20,Rep_13,Central,498.54,Madras,Sep 04 2023,"2,079",Enterprise
21,Rep_3,Central,35.91,Pune,02-05-2024,2864,SMB
22,Rep_3,South,43.56,Madras,05-04-2023,"1,960",SMB
23,Rep_11,South,,mumbai,16-01-2024,1.9k,SMB
24,Rep_13,Central,57.89,DELHI,2024-07-22,2.5k,SMB
25,Rep_19,North,53.63,bengaluru,21/06/2023,"$1,408",SMB
26,Rep_12,North,36.26,pune,22-02-2023,"1,773",SMB
27,Rep_17,West,569.81,Bengaluru,May 12 2024,"$2,999",Enterprise
28,Rep_4,North,60.62,Poona,Jan 19 2023,1.7k,SMB
29,Rep_9,South,32.46,Mumbai,14-07-2023,1988,SMB
30,Rep_16,North,35.33,Poona,12-02-2024,"1,129",Enterprise
31,Rep_3,East,41.2,pune,06/09/2024,"2,282",SMB
32,Rep_19,South,51.96,Bengaluru,Jan 06 2024,1.8k,SMB
33,Rep_15,South,73.41,Chennai,Feb 16 2023,1446,Enterprise
34,Rep_19,North,,BENGALURU,06/09/2023,2798,SMB
35,Rep_4,Central,49.05,DELHI,12-08-2024,1.9k,SMB
36,Rep_4,South,,BENGALURU,Apr 26 2023,1831,SMB
37,Rep_12,West,,Delhi,29/03/2023,1773,SMB
38,Rep_7,Central,,DELHI,04-03-2023,1881,SMB
39,Rep_7,East,48.28,DELHI,11/03/2024,1355,SMB
40,Rep_17,North,48.78,DELHI,Oct 08 2024,1.5k,SMB
41,Rep_7,Central,53.9,Bombay,25/08/2023,1135,SMB
